Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2762,Demersal Fish,2019,2019,kg,4.05,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2762,Demersal Fish,2020,2020,kg,4.05,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2762,Demersal Fish,2021,2021,kg,4.04,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2763,Pelagic Fish,2017,2017,kg,2.49,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2763,Pelagic Fish,2018,2018,kg,2.74,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2763,Pelagic Fish,2019,2019,kg,2.48,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2763,Pelagic Fish,2020,2020,kg,2.48,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2763,Pelagic Fish,2021,2021,kg,2.48,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2764,"Marine Fish, Other",2017,2017,kg,0.36,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2764,"Marine Fish, Other",2018,2018,kg,0.35,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2764,"Marine Fish, Other",2019,2019,kg,0.38,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2764,"Marine Fish, Other",2020,2020,kg,0.37,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2764,"Marine Fish, Other",2021,2021,kg,0.37,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2765,Crustaceans,2017,2017,kg,0.88,E,Estimated value
FBS,Food Balances (2010-),276,Germany,645,Food supply quantity (kg/capita/yr),S2765,Crustaceans,2018,2018,kg,0.84,E,Estimated value
